880;1;32;50.12163685634732
880;1;32;48.99666297622025
880;1;32;49.17176125943661
880;5;32;2.0775367375463247
880;5;32;2.134894857183099
880;5;32;2.110278496518731
880;10;32;0.5886524002999067
880;10;32;0.6324609778821468
880;10;32;0.6190677396953106
880;20;32;0.33922796882689
880;20;32;0.3457954227924347
880;20;32;0.35395294427871704
880;55;32;0.40087997540831566
880;55;32;0.3921314384788275
880;55;32;0.4056416917592287
880;150;32;0.8721615467220545
880;150;32;0.8574803043156862
880;150;32;0.8645041286945343
880;400;32;2.7148501202464104
880;400;32;2.6475011110305786
880;400;32;2.651826733723283
