120;24;1;0.1712960358709097
120;24;1;0.16935236938297749
120;24;1;0.17115389555692673
1030;24;1;11.92179162800312
1030;24;1;11.535565685480833
1030;24;1;11.704910431057215
120;24;2;0.09265894815325737
120;24;2;0.09268586710095406
120;24;2;0.09238633327186108
1030;24;2;5.7540420070290565
1030;24;2;5.793325277045369
1030;24;2;5.788641180843115
120;24;4;0.06099492870271206
120;24;4;0.061319611966609955
120;24;4;0.060668401420116425
1030;24;4;2.919090749695897
1030;24;4;2.9209104776382446
1030;24;4;2.975608667358756
120;24;8;0.04811067879199982
120;24;8;0.04716167412698269
120;24;8;0.04721366614103317
1030;24;8;1.4898687861859798
1030;24;8;1.5211761891841888
1030;24;8;1.4981493521481752
120;24;16;0.05600789189338684
120;24;16;0.055466923862695694
120;24;16;0.05413624458014965
1030;24;16;0.7907446511089802
1030;24;16;0.7872892990708351
1030;24;16;0.7873574271798134
120;24;24;0.0657363086938858
120;24;24;0.06667857430875301
120;24;24;0.06652738526463509
1030;24;24;0.5674488339573145
1030;24;24;0.5642224792391062
1030;24;24;0.5690729524940252
120;24;32;0.07750089280307293
120;24;32;0.07813972793519497
120;24;32;0.07782676815986633
1030;24;32;0.4954969473183155
1030;24;32;0.5034711007028818
1030;24;32;0.5027873404324055
